"","ID","Genus_Species"
"1",92203,"Acer_saccharum"
"4",92204,"Acer_saccharum"
"7",92206,"Acer_saccharum"
"10",92208,"Acer_saccharum"
"13",92209,"Acer_saccharum"
"16",85751,"Aesculus_flava"
"19",85755,"Aesculus_flava"
"22",85756,"Aesculus_flava"
"25",85757,"Aesculus_flava"
"28",85758,"Aesculus_flava"
"31",85759,"Betula_alleghaniensis"
"35",85761,"Betula_alleghaniensis"
"39",85762,"Betula_alleghaniensis"
"43",85763,"Betula_alleghaniensis"
"47",85764,"Betula_alleghaniensis"
"51",86258,"Betula_nigra"
"55",86259,"Betula_nigra"
"59",86260,"Betula_nigra"
"63",86261,"Betula_nigra"
"67",87754,"Betula_nigra"
"71",86262,"Carya_glabra"
"74",86263,"Carya_glabra"
"77",86264,"Carya_glabra"
"80",86265,"Carya_glabra"
"83",86266,"Carya_glabra"
"86",86268,"Carya_ovata"
"89",86269,"Carya_ovata"
"92",86270,"Carya_ovata"
"95",86271,"Carya_ovata"
"98",86272,"Carya_ovata"
"101",86273,"Fagus_grandifolia"
"102",86274,"Fagus_grandifolia"
"104",86275,"Fagus_grandifolia"
"106",86276,"Fagus_grandifolia"
"109",86277,"Fagus_grandifolia"
"110",135343,"Fagus_grandifolia"
"111",135911,"Fagus_grandifolia"
"112",86278,"Populus_deltoides"
"115",86279,"Populus_deltoides"
"118",86280,"Populus_deltoides"
"121",86281,"Populus_deltoides"
"124",86282,"Populus_deltoides"
"127",87756,"Quercus_alba"
"130",87758,"Quercus_alba"
"133",87759,"Quercus_alba"
"136",87761,"Quercus_alba"
"139",88311,"Quercus_alba"
"142",86285,"Quercus_rubra"
"145",86286,"Quercus_rubra"
"148",86287,"Quercus_rubra"
"151",86288,"Quercus_rubra"
"154",87760,"Quercus_rubra"
"157",86289,"Tilia_americana"
"160",86290,"Tilia_americana"
"163",87757,"Tilia_americana"
"166",87762,"Tilia_americana"
"169",87763,"Tilia_americana"
